"Name","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Peter Alonso","161","693","53","103","120","1","10.4 %","26.4 %",".323",".280",".260",".358",".583",".384","143","-2.2","37.0","-9.7","4.8","19251"
"Jeff McNeil","133","567","23","83","75","5","6.2 %","13.2 %",".214",".337",".318",".384",".531",".384","143","-2.9","29.4","-0.8","4.6","15362"
"Michael Conforto","151","648","33","90","92","7","13.0 %","23.0 %",".237",".290",".257",".363",".494",".358","126","1.4","23.6","-6.0","3.7","16376"
"Amed Rosario","157","655","15","75","72","19","4.7 %","18.9 %",".144",".338",".287",".323",".432",".318","100","1.3","1.1","5.9","2.7","15518"
"J.D. Davis","140","453","22","65","57","3","8.4 %","21.4 %",".220",".355",".307",".369",".527",".373","136","-2.8","18.7","-9.0","2.4","16219"
"Todd Frazier","133","499","21","63","67","1","8.0 %","21.2 %",".192",".284",".251",".329",".443",".328","106","-1.6","2.4","0.5","1.9","785"
"Wilson Ramos","141","524","14","52","73","1","8.4 %","13.2 %",".129",".310",".288",".351",".416",".327","105","-5.8","-2.1","-0.1","1.4","1433"
"Brandon Nimmo","69","254","8","34","29","3","18.1 %","28.0 %",".186",".293",".221",".375",".407",".340","114","1.9","6.6","-1.5","1.3","12927"
"Dominic Smith","89","197","11","35","25","1","9.6 %","22.3 %",".243",".320",".282",".355",".525",".368","133","-1.6","6.9","-4.8","0.8","15653"
"Robinson Cano","107","423","13","46","39","0","5.9 %","16.3 %",".172",".280",".256",".307",".428",".308","93","-2.3","-6.1","0.3","0.8","3269"
"Jacob deGrom","33","70","2","4","6","0","5.7 %","27.1 %",".123",".250",".200",".246",".323",".245","52","0.0","-4.5","8.6","0.6","10954"
"Zack Wheeler","31","64","1","5","6","0","3.1 %","29.7 %",".088",".297",".211",".262",".298",".246","53","0.0","-4.0","7.9","0.6","10310"
"Steven Matz","36","61","1","4","1","0","0.0 %","27.9 %",".053",".308",".228",".228",".281",".217","34","0.0","-5.4","7.5","0.4","13361"
"Joe Panik","39","103","2","17","12","0","6.8 %","8.7 %",".128",".289",".277",".333",".404",".317","99","-0.3","-0.4","0.5","0.3","11936"
"Luis Guillorme","45","70","1","8","3","0","10.0 %","20.0 %",".115",".304",".246",".324",".361",".299","87","0.2","-1.0","0.9","0.2","16451"
"Seth Lugo","61","1","0","0","1","0","0.0 %","0.0 %",".000","1.000","1.000","1.000","1.000",".870","461","0.0","0.5","0.1","0.1","12447"
"Wilmer Font","15","4","0","0","0","0","0.0 %","50.0 %",".000","1.000",".333",".333",".333",".290","81","0.0","-0.1","0.5","0.1","5257"
"Drew Gagnon","18","4","0","0","0","0","0.0 %","0.0 %",".000",".333",".333",".333",".333",".290","81","0.0","-0.1","0.5","0.1","12545"
"Chris Flexen","9","2","0","0","0","0","0.0 %","0.0 %",".000",".500",".500",".500",".500",".435","176","0.0","0.2","0.2","0.0","13896"
"Walker Lockett","9","7","0","0","0","0","14.3 %","57.1 %",".000",".500",".167",".286",".167",".223","37","0.0","-0.6","0.9","0.0","13804"
