"Name","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"DJ LeMahieu","145","655","26","109","102","5","7.0 %","13.7 %",".191",".349",".327",".375",".518",".375","136","-0.8","29.2","2.8","5.4","9874"
"Aaron Judge","102","447","27","75","55","3","14.3 %","31.5 %",".267",".360",".272",".381",".540",".382","141","0.4","23.7","7.6","4.6","15640"
"Gleyber Torres","144","604","38","96","90","5","7.9 %","21.4 %",".256",".296",".278",".337",".535",".358","125","-0.5","18.7","-2.6","3.6","16997"
"Brett Gardner","141","550","28","86","74","10","9.5 %","19.6 %",".253",".265",".251",".325",".503",".344","115","4.6","15.2","2.5","3.6","9927"
"Giovanny Urshela","132","476","21","73","74","1","5.3 %","18.3 %",".219",".349",".314",".355",".534",".369","132","-3.1","16.4","-1.1","3.1","10681"
"Mike Tauchman","87","296","13","46","47","6","11.5 %","24.0 %",".227",".333",".277",".361",".504",".364","128","1.2","11.9","4.2","2.6","15274"
"Gary Sanchez","106","446","34","62","77","0","9.0 %","28.0 %",".293",".244",".232",".316",".525",".346","116","-1.1","8.1","-0.1","2.3","11442"
"Luke Voit","118","510","21","72","62","0","13.9 %","27.8 %",".200",".345",".263",".378",".464",".360","126","-3.8","12.9","-13.6","1.7","14811"
"Cameron Maybin","82","269","11","48","32","9","11.2 %","26.8 %",".209",".365",".285",".364",".494",".362","127","0.7","10.2","-3.3","1.6","5223"
"Aaron Hicks","59","255","12","41","36","1","12.2 %","28.2 %",".208",".286",".235",".325",".443",".325","102","-0.1","0.6","1.3","1.1","5297"
"Didi Gregorius","82","344","16","47","61","2","4.9 %","15.4 %",".204",".237",".238",".276",".441",".297","84","1.1","-6.1","3.6","0.9","6012"
"Austin Romine","73","240","8","29","35","1","4.2 %","20.8 %",".158",".327",".281",".310",".439",".315","95","-2.2","-3.6","3.9","0.9","5491"
